REF_DATE;GEO;DGUID;Custodial and community supervision;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
1978/1979;Yukon;2016A000260;Total community supervision count;Persons;249;units;0;v21536917;12.7;436.0;;;;1
1978/1979;Yukon;2016A000260;Probation, community supervision;Persons;249;units;0;v21536918;12.8;436.0;;;;1
1978/1979;Yukon;2016A000260;Conditional sentence, community supervision;Persons;249;units;0;v21536919;12.9;;..;;;1
1978/1979;Yukon;2016A000260;Probation rates per 100,000 adults;Rate;257;units;0;v21536920;12.11;2753.57;;;;2
1978/1979;Northwest Territories including Nunavut;;Total actual-in count;Persons;249;units;0;v21536921;13.1;120.0;;;t;1
1978/1979;Northwest Territories including Nunavut;;Sentenced, actual-in count;Persons;249;units;0;v21536922;13.2;110.0;;;t;1
1978/1979;Northwest Territories including Nunavut;;Remand, actual-in count;Persons;249;units;0;v21536923;13.3;10.0;;;t;1
1978/1979;Northwest Territories including Nunavut;;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536926;13.6;465.15;;;t;2
1978/1979;Northwest Territories including Nunavut;;Total community supervision count;Persons;249;units;0;v21536927;13.7;290.0;;;t;1
1978/1979;Northwest Territories including Nunavut;;Probation, community supervision;Persons;249;units;0;v21536928;13.8;290.0;;;t;1
1978/1979;Northwest Territories including Nunavut;;Probation rates per 100,000 adults;Rate;257;units;0;v21536929;13.11;1124.12;;;t;2
1978/1979;Northwest Territories;2016A000261;Total actual-in count;Persons;249;units;0;v21536930;14.1;;..;;;1
1978/1979;Northwest Territories;2016A000261;Sentenced, actual-in count;Persons;249;units;0;v21536931;14.2;;..;;;1
1978/1979;Northwest Territories;2016A000261;Remand, actual-in count;Persons;249;units;0;v21536932;14.3;;..;;;1
1978/1979;Northwest Territories;2016A000261;Other statuses, actual-in count;Persons;249;units;0;v44182208;14.4;;..;;;1
1978/1979;Northwest Territories;2016A000261;On-register count;Persons;249;units;0;v42133461;14.5;;..;;;1
1978/1979;Northwest Territories;2016A000261;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536935;14.6;;..;;;2
1978/1979;Northwest Territories;2016A000261;Total community supervision count;Persons;249;units;0;v52265497;14.7;;..;;;1
1978/1979;Northwest Territories;2016A000261;Probation, community supervision;Persons;249;units;0;v52265498;14.8;;..;;;1
1978/1979;Northwest Territories;2016A000261;Conditional sentence, community supervision;Persons;249;units;0;v52265499;14.9;;..;;;1
1978/1979;Northwest Territories;2016A000261;Probation rates per 100,000 adults;Rate;257;units;0;v52265501;14.11;;..;;;2
1978/1979;Nunavut;2016A000262;Total actual-in count;Persons;249;units;0;v21536936;15.1;;..;;;1
1978/1979;Nunavut;2016A000262;Sentenced, actual-in count;Persons;249;units;0;v21536937;15.2;;..;;;1
1978/1979;Nunavut;2016A000262;Remand, actual-in count;Persons;249;units;0;v21536938;15.3;;..;;;1
1978/1979;Nunavut;2016A000262;Other statuses, actual-in count;Persons;249;units;0;v21536939;15.4;;..;;;1
1978/1979;Nunavut;2016A000262;On-register count;Persons;249;units;0;v21536940;15.5;;..;;;1
1978/1979;Nunavut;2016A000262;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536941;15.6;;..;;;2
1978/1979;Nunavut;2016A000262;Total community supervision count;Persons;249;units;0;v41443553;15.7;;..;;;1
1978/1979;Nunavut;2016A000262;Probation, community supervision;Persons;249;units;0;v41443554;15.8;;..;;;1
1978/1979;Nunavut;2016A000262;Conditional sentence, community supervision;Persons;249;units;0;v41443555;15.9;;..;;;1
1978/1979;Nunavut;2016A000262;Probation rates per 100,000 adults;Rate;257;units;0;v41443556;15.11;;..;;;2
1979/1980;Provinces and Territories;2016A000011124;Total actual-in count;Persons;249;units;0;v21536797;1.1;13363.0;;;;1
1979/1980;Provinces and Territories;2016A000011124;Sentenced, actual-in count;Persons;249;units;0;v21536798;1.2;10393.0;;;;1
1979/1980;Provinces and Territories;2016A000011124;Remand, actual-in count;Persons;249;units;0;v21536799;1.3;2948.0;;;;1
1979/1980;Provinces and Territories;2016A000011124;Other statuses, actual-in count;Persons;249;units;0;v21536800;1.4;22.0;;;;1
1979/1980;Provinces and Territories;2016A000011124;On-register count;Persons;249;units;0;v21536801;1.5;3017.0;;;;1
1979/1980;Provinces and Territories;2016A000011124;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536802;1.6;78.07;;;;2
1979/1980;Provinces and Territories;2016A000011124;Total community supervision count;Persons;249;units;0;v21536803;1.7;60799.0;;;;1
1979/1980;Provinces and Territories;2016A000011124;Probation, community supervision;Persons;249;units;0;v21536804;1.8;59248.0;;;;1
1979/1980;Provinces and Territories;2016A000011124;Conditional sentence, community supervision;Persons;249;units;0;v21536805;1.9;;..;;;1
1979/1980;Provinces and Territories;2016A000011124;Provincial parole, community supervision;Persons;249;units;0;v21536806;1.10;1551.0;;;;1
1979/1980;Provinces and Territories;2016A000011124;Probation rates per 100,000 adults;Rate;257;units;0;v21536807;1.11;346.16;;;;2
1979/1980;Newfoundland and Labrador;2016A000210;Total actual-in count;Persons;249;units;0;v21536808;2.1;234.0;;;;1
1979/1980;Newfoundland and Labrador;2016A000210;Sentenced, actual-in count;Persons;249;units;0;v21536809;2.2;224.0;;;;1
1979/1980;Newfoundland and Labrador;2016A000210;Remand, actual-in count;Persons;249;units;0;v21536810;2.3;10.0;;;;1
1979/1980;Newfoundland and Labrador;2016A000210;Other statuses, actual-in count;Persons;249;units;0;v21536811;2.4;;..;;;1
1979/1980;Newfoundland and Labrador;2016A000210;On-register count;Persons;249;units;0;v21536812;2.5;256.0;;;;1
1979/1980;Newfoundland and Labrador;2016A000210;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536813;2.6;66.07;;;;2
1979/1980;Newfoundland and Labrador;2016A000210;Total community supervision count;Persons;249;units;0;v21536814;2.7;445.0;;;;1
1979/1980;Newfoundland and Labrador;2016A000210;Probation, community supervision;Persons;249;units;0;v21536815;2.8;445.0;;;;1
1979/1980;Newfoundland and Labrador;2016A000210;Conditional sentence, community supervision;Persons;249;units;0;v21536816;2.9;;..;;;1
1979/1980;Newfoundland and Labrador;2016A000210;Probation rates per 100,000 adults;Rate;257;units;0;v21536817;2.11;125.64;;;;2
1979/1980;Prince Edward Island;2016A000211;Total actual-in count;Persons;249;units;0;v21536818;3.1;70.0;;;;1
1979/1980;Prince Edward Island;2016A000211;Sentenced, actual-in count;Persons;249;units;0;v21536819;3.2;56.0;;;;1
1979/1980;Prince Edward Island;2016A000211;Remand, actual-in count;Persons;249;units;0;v21536820;3.3;7.0;;;;1
1979/1980;Prince Edward Island;2016A000211;Other statuses, actual-in count;Persons;249;units;0;v21536821;3.4;7.0;;;;1
1979/1980;Prince Edward Island;2016A000211;On-register count;Persons;249;units;0;v21536822;3.5;;..;;;1
1979/1980;Prince Edward Island;2016A000211;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536823;3.6;84.44;;;;2
1979/1980;Prince Edward Island;2016A000211;Total community supervision count;Persons;249;units;0;v21536824;3.7;260.0;;;;1
1979/1980;Prince Edward Island;2016A000211;Probation, community supervision;Persons;249;units;0;v21536825;3.8;260.0;;;;1
1979/1980;Prince Edward Island;2016A000211;Conditional sentence, community supervision;Persons;249;units;0;v21536826;3.9;;..;;;1
1979/1980;Prince Edward Island;2016A000211;Probation rates per 100,000 adults;Rate;257;units;0;v21536827;3.11;313.64;;;;2
1979/1980;Nova Scotia;2016A000212;Total actual-in count;Persons;249;units;0;v21536828;4.1;413.0;;;;1
1979/1980;Nova Scotia;2016A000212;Sentenced, actual-in count;Persons;249;units;0;v21536829;4.2;351.0;;;;1
1979/1980;Nova Scotia;2016A000212;Remand, actual-in count;Persons;249;units;0;v21536830;4.3;62.0;;;;1
1979/1980;Nova Scotia;2016A000212;Other statuses, actual-in count;Persons;249;units;0;v21536831;4.4;;..;;;1
1979/1980;Nova Scotia;2016A000212;On-register count;Persons;249;units;0;v21536832;4.5;;..;;;1
1979/1980;Nova Scotia;2016A000212;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536833;4.6;70.36;;;;2
1979/1980;Nova Scotia;2016A000212;Total community supervision count;Persons;249;units;0;v21536834;4.7;2623.0;;;;1
1979/1980;Nova Scotia;2016A000212;Probation, community supervision;Persons;249;units;0;v21536835;4.8;2623.0;;;;1
1979/1980;Nova Scotia;2016A000212;Conditional sentence, community supervision;Persons;249;units;0;v21536836;4.9;;..;;;1
1979/1980;Nova Scotia;2016A000212;Probation rates per 100,000 adults;Rate;257;units;0;v21536837;4.11;446.83;;;;2
1979/1980;New Brunswick;2016A000213;Total actual-in count;Persons;249;units;0;v21536838;5.1;329.0;;;;1
1979/1980;New Brunswick;2016A000213;Sentenced, actual-in count;Persons;249;units;0;v21536839;5.2;301.0;;;;1
1979/1980;New Brunswick;2016A000213;Remand, actual-in count;Persons;249;units;0;v21536840;5.3;25.0;;;;1
1979/1980;New Brunswick;2016A000213;Other statuses, actual-in count;Persons;249;units;0;v21536841;5.4;3.0;;;;1
1979/1980;New Brunswick;2016A000213;On-register count;Persons;249;units;0;v21536842;5.5;367.0;;;;1
1979/1980;New Brunswick;2016A000213;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536843;5.6;69.32;;;;2
1979/1980;New Brunswick;2016A000213;Total community supervision count;Persons;249;units;0;v21536844;5.7;1573.0;;;;1
1979/1980;New Brunswick;2016A000213;Probation, community supervision;Persons;249;units;0;v21536845;5.8;1573.0;;;;1
1979/1980;New Brunswick;2016A000213;Conditional sentence, community supervision;Persons;249;units;0;v21536846;5.9;;..;;;1
1979/1980;New Brunswick;2016A000213;Probation rates per 100,000 adults;Rate;257;units;0;v21536847;5.11;331.42;;;;2
1979/1980;Quebec;2016A000224;Total actual-in count;Persons;249;units;0;v21536848;6.1;2131.0;;;;1
1979/1980;Quebec;2016A000224;Sentenced, actual-in count;Persons;249;units;0;v21536849;6.2;1574.0;;;;1
1979/1980;Quebec;2016A000224;Remand, actual-in count;Persons;249;units;0;v21536850;6.3;551.0;;;;1
1979/1980;Quebec;2016A000224;Other statuses, actual-in count;Persons;249;units;0;v21536851;6.4;6.0;;;;1
1979/1980;Quebec;2016A000224;On-register count;Persons;249;units;0;v21536852;6.5;2394.0;;;;1
1979/1980;Quebec;2016A000224;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536853;6.6;46.11;;;;2
1979/1980;Quebec;2016A000224;Total community supervision count;Persons;249;units;0;v21536854;6.7;5365.0;;;;1
1979/1980;Quebec;2016A000224;Probation, community supervision;Persons;249;units;0;v21536855;6.8;4891.0;;;;1
1979/1980;Quebec;2016A000224;Conditional sentence, community supervision;Persons;249;units;0;v21536856;6.9;;..;;;1
1979/1980;Quebec;2016A000224;Provincial parole, community supervision;Persons;249;units;0;v21536857;6.10;474.0;;;;1
1979/1980;Quebec;2016A000224;Probation rates per 100,000 adults;Rate;257;units;0;v21536858;6.11;105.82;;;;2
1979/1980;Ontario;2016A000235;Total actual-in count;Persons;249;units;0;v21536859;7.1;5039.0;;;;1
1979/1980;Ontario;2016A000235;Sentenced, actual-in count;Persons;249;units;0;v21536860;7.2;4011.0;;;;1
1979/1980;Ontario;2016A000235;Remand, actual-in count;Persons;249;units;0;v21536861;7.3;1024.0;;;;1
1979/1980;Ontario;2016A000235;Other statuses, actual-in count;Persons;249;units;0;v21536862;7.4;4.0;;;;1
1979/1980;Ontario;2016A000235;On-register count;Persons;249;units;0;v21536863;7.5;;..;;;1
1979/1980;Ontario;2016A000235;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536864;7.6;81.46;;;;2
1979/1980;Ontario;2016A000235;Total community supervision count;Persons;249;units;0;v21536865;7.7;31003.0;;;;1
1979/1980;Ontario;2016A000235;Probation, community supervision;Persons;249;units;0;v21536866;7.8;29941.0;;;;1
1979/1980;Ontario;2016A000235;Conditional sentence, community supervision;Persons;249;units;0;v21536867;7.9;;..;;;1
1979/1980;Ontario;2016A000235;Provincial parole, community supervision;Persons;249;units;0;v21536868;7.10;1062.0;;;;1
1979/1980;Ontario;2016A000235;Probation rates per 100,000 adults;Rate;257;units;0;v21536869;7.11;484.02;;;;2
1979/1980;Manitoba;2016A000246;Total actual-in count;Persons;249;units;0;v21536870;8.1;794.0;;;;1
1979/1980;Manitoba;2016A000246;Sentenced, actual-in count;Persons;249;units;0;v21536871;8.2;466.0;;;;1
1979/1980;Manitoba;2016A000246;Remand, actual-in count;Persons;249;units;0;v21536872;8.3;326.0;;;;1
1979/1980;Manitoba;2016A000246;Other statuses, actual-in count;Persons;249;units;0;v21536873;8.4;2.0;;;;1
1979/1980;Manitoba;2016A000246;On-register count;Persons;249;units;0;v21536874;8.5;;..;;;1
1979/1980;Manitoba;2016A000246;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536875;8.6;109.04;;;;2
1979/1980;Manitoba;2016A000246;Total community supervision count;Persons;249;units;0;v21536876;8.7;1688.0;;;;1
1979/1980;Manitoba;2016A000246;Probation, community supervision;Persons;249;units;0;v21536877;8.8;1688.0;;;;1
1979/1980;Manitoba;2016A000246;Conditional sentence, community supervision;Persons;249;units;0;v21536878;8.9;;..;;;1
1979/1980;Manitoba;2016A000246;Probation rates per 100,000 adults;Rate;257;units;0;v21536879;8.11;231.82;;;;2
1979/1980;Saskatchewan;2016A000247;Total actual-in count;Persons;249;units;0;v21536880;9.1;838.0;;;;1
1979/1980;Saskatchewan;2016A000247;Sentenced, actual-in count;Persons;249;units;0;v21536881;9.2;732.0;;;;1
1979/1980;Saskatchewan;2016A000247;Remand, actual-in count;Persons;249;units;0;v21536882;9.3;106.0;;;;1
1979/1980;Saskatchewan;2016A000247;On-register count;Persons;249;units;0;v21536884;9.5;;..;;;1
1979/1980;Saskatchewan;2016A000247;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536885;9.6;127.33;;;;2
1979/1980;Saskatchewan;2016A000247;Total community supervision count;Persons;249;units;0;v21536886;9.7;2482.0;;;;1
