REF_DATE;GEO;DGUID;Custodial admissions;Age group;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
2002/2003;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;;..;;;0
2002/2003;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;;..;;;0
2002/2003;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;;..;;;0
2002/2003;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;;..;;;0
2002/2003;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;;..;;;0
2002/2003;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;;..;;;0
2003/2004;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;;..;;;0
2003/2004;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;;..;;;0
2003/2004;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;;..;;;0
2003/2004;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;;..;;;0
2003/2004;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;;..;;;0
2003/2004;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;;..;;;0
2003/2004;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;;..;;;0
2003/2004;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;;..;;;0
2004/2005;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;;..;;;0
2004/2005;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;;..;;;0
2004/2005;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;;..;;;0
2004/2005;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;;..;;;0
2004/2005;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;;..;;;0
2004/2005;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;;..;;;0
2004/2005;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;;..;;;0
2004/2005;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;;..;;;0
2005/2006;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;37610;;;;0
2005/2006;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;37610;;;;0
2005/2006;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;17329;;;;0
2005/2006;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;17329;;;;0
2005/2006;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;20281;;;;0
2005/2006;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;20281;;;;0
2005/2006;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;0;;;;0
2005/2006;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;0;;;;0
2006/2007;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;39106;;;;0
2006/2007;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;39106;;;;0
2006/2007;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;17426;;;;0
2006/2007;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;17426;;;;0
2006/2007;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;21680;;;;0
2006/2007;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;21680;;;;0
2006/2007;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;0;;;;0
2006/2007;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;0;;;;0
2007/2008;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;39656;;;;0
2007/2008;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;39656;;;;0
2007/2008;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;17010;;;;0
2007/2008;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;17010;;;;0
2007/2008;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;22646;;;;0
2007/2008;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;22646;;;;0
2007/2008;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;0;;;;0
2007/2008;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;0;;;;0
2008/2009;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;42479;;;;0
2008/2009;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;42479;;;;0
2008/2009;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;18509;;;;0
2008/2009;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;18509;;;;0
2008/2009;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;23970;;;;0
2008/2009;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;23970;;;;0
2008/2009;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;0;;;;0
2008/2009;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;0;;;;0
2009/2010;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;41431;;;;0
2009/2010;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;41431;;;;0
2009/2010;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;18740;;;;0
2009/2010;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;18740;;;;0
2009/2010;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;22691;;;;0
2009/2010;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;22691;;;;0
2009/2010;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;0;;;;0
2009/2010;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;0;;;;0
2010/2011;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;39955;;;;0
2010/2011;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;39955;;;;0
2010/2011;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;17728;;;;0
2010/2011;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;17728;;;;0
2010/2011;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;22227;;;;0
2010/2011;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;22227;;;;0
2010/2011;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;0;;;;0
2010/2011;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;0;;;;0
2011/2012;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;40125;;;;0
2011/2012;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;40125;;;;0
2011/2012;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;17719;;;;0
2011/2012;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;17719;;;;0
2011/2012;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;22406;;;;0
2011/2012;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;22406;;;;0
2011/2012;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;0;;;;0
2011/2012;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;0;;;;0
2012/2013;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;;..;;;0
2012/2013;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;;..;;;0
2012/2013;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;;..;;;0
2012/2013;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;;..;;;0
2012/2013;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;;..;;;0
2012/2013;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;;..;;;0
2012/2013;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;;..;;;0
2012/2013;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;;..;;;0
2013/2014;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;;..;;;0
2013/2014;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;;..;;;0
2013/2014;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;;..;;;0
2013/2014;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;;..;;;0
2013/2014;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;;..;;;0
2013/2014;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;;..;;;0
2013/2014;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;;..;;;0
2013/2014;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;;..;;;0
2014/2015;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;;..;;;0
2014/2015;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;;..;;;0
2014/2015;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;;..;;;0
2014/2015;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;;..;;;0
2014/2015;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;;..;;;0
2014/2015;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;;..;;;0
2014/2015;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;;..;;;0
2014/2015;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;;..;;;0
2015/2016;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;;..;;;0
2015/2016;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;;..;;;0
2015/2016;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;;..;;;0
2015/2016;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;;..;;;0
2015/2016;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;;..;;;0
2015/2016;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;;..;;;0
2015/2016;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;;..;;;0
2015/2016;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;;..;;;0
2016/2017;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;48494;;;;0
2016/2017;Alberta;2016A000248;Total, custodial admissions;18 to 19 years;Number;223;units;0;v1000077727;10.1.2;1811;;;;0
2016/2017;Alberta;2016A000248;Total, custodial admissions;20 to 24 years;Number;223;units;0;v1000077728;10.1.3;8129;;;;0
2016/2017;Alberta;2016A000248;Total, custodial admissions;25 to 29 years;Number;223;units;0;v1000077729;10.1.4;10171;;;;0
2016/2017;Alberta;2016A000248;Total, custodial admissions;30 to 34 years;Number;223;units;0;v1000077730;10.1.5;9903;;;;0
2016/2017;Alberta;2016A000248;Total, custodial admissions;35 to 39 years;Number;223;units;0;v1000077731;10.1.6;6869;;;;0
2016/2017;Alberta;2016A000248;Total, custodial admissions;40 to 44 years;Number;223;units;0;v1000077732;10.1.7;4521;;;;0
2016/2017;Alberta;2016A000248;Total, custodial admissions;45 to 49 years;Number;223;units;0;v1000077733;10.1.8;3271;;;;0
2016/2017;Alberta;2016A000248;Total, custodial admissions;50 years and over;Number;223;units;0;v1000077734;10.1.9;3819;;;;0
2016/2017;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;0;;;;0
2016/2017;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;20544;;;;0
2016/2017;Alberta;2016A000248;Sentenced;18 to 19 years;Number;223;units;0;v1000077735;10.2.2;528;;;;0
2016/2017;Alberta;2016A000248;Sentenced;20 to 24 years;Number;223;units;0;v1000077736;10.2.3;3309;;;;0
2016/2017;Alberta;2016A000248;Sentenced;25 to 29 years;Number;223;units;0;v1000077737;10.2.4;4219;;;;0
2016/2017;Alberta;2016A000248;Sentenced;30 to 34 years;Number;223;units;0;v1000077738;10.2.5;4185;;;;0
2016/2017;Alberta;2016A000248;Sentenced;35 to 39 years;Number;223;units;0;v1000077739;10.2.6;2953;;;;0
2016/2017;Alberta;2016A000248;Sentenced;40 to 44 years;Number;223;units;0;v1000077740;10.2.7;1968;;;;0
2016/2017;Alberta;2016A000248;Sentenced;45 to 49 years;Number;223;units;0;v1000077741;10.2.8;1548;;;;0
2016/2017;Alberta;2016A000248;Sentenced;50 years and over;Number;223;units;0;v1000077742;10.2.9;1834;;;;0
2016/2017;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;0;;;;0
2016/2017;Alberta;2016A000248;Sentenced;Median age on admission;Years;308;units;0;v1000077743;10.2.11;32;;;;0
2016/2017;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;26172;;;;0
2016/2017;Alberta;2016A000248;Remand;18 to 19 years;Number;223;units;0;v1000077744;10.3.2;1238;;;;0
2016/2017;Alberta;2016A000248;Remand;20 to 24 years;Number;223;units;0;v1000077745;10.3.3;4586;;;;0
2016/2017;Alberta;2016A000248;Remand;25 to 29 years;Number;223;units;0;v1000077746;10.3.4;5571;;;;0
2016/2017;Alberta;2016A000248;Remand;30 to 34 years;Number;223;units;0;v1000077747;10.3.5;5330;;;;0
2016/2017;Alberta;2016A000248;Remand;35 to 39 years;Number;223;units;0;v1000077748;10.3.6;3647;;;;0
2016/2017;Alberta;2016A000248;Remand;40 to 44 years;Number;223;units;0;v1000077749;10.3.7;2360;;;;0
2016/2017;Alberta;2016A000248;Remand;45 to 49 years;Number;223;units;0;v1000077750;10.3.8;1602;;;;0
2016/2017;Alberta;2016A000248;Remand;50 years and over;Number;223;units;0;v1000077751;10.3.9;1838;;;;0
2016/2017;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;0;;;;0
2016/2017;Alberta;2016A000248;Remand;Median age on admission;Years;308;units;0;v1000077752;10.3.11;31;;;;0
2016/2017;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;1778;;;;0
2016/2017;Alberta;2016A000248;Other custodial statuses;18 to 19 years;Number;223;units;0;v1000077753;10.4.2;45;;;;0
2016/2017;Alberta;2016A000248;Other custodial statuses;20 to 24 years;Number;223;units;0;v1000077754;10.4.3;234;;;;0
2016/2017;Alberta;2016A000248;Other custodial statuses;25 to 29 years;Number;223;units;0;v1000077755;10.4.4;381;;;;0
2016/2017;Alberta;2016A000248;Other custodial statuses;30 to 34 years;Number;223;units;0;v1000077756;10.4.5;388;;;;0
2016/2017;Alberta;2016A000248;Other custodial statuses;35 to 39 years;Number;223;units;0;v1000077757;10.4.6;269;;;;0
2016/2017;Alberta;2016A000248;Other custodial statuses;40 to 44 years;Number;223;units;0;v1000077758;10.4.7;193;;;;0
2016/2017;Alberta;2016A000248;Other custodial statuses;45 to 49 years;Number;223;units;0;v1000077759;10.4.8;121;;;;0
2016/2017;Alberta;2016A000248;Other custodial statuses;50 years and over;Number;223;units;0;v1000077760;10.4.9;147;;;;0
2016/2017;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;0;;;;0
2017/2018;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;44105;;;;0
2017/2018;Alberta;2016A000248;Total, custodial admissions;18 to 19 years;Number;223;units;0;v1000077727;10.1.2;1489;;;;0
2017/2018;Alberta;2016A000248;Total, custodial admissions;20 to 24 years;Number;223;units;0;v1000077728;10.1.3;6946;;;;0
2017/2018;Alberta;2016A000248;Total, custodial admissions;25 to 29 years;Number;223;units;0;v1000077729;10.1.4;9340;;;;0
2017/2018;Alberta;2016A000248;Total, custodial admissions;30 to 34 years;Number;223;units;0;v1000077730;10.1.5;9183;;;;0
2017/2018;Alberta;2016A000248;Total, custodial admissions;35 to 39 years;Number;223;units;0;v1000077731;10.1.6;6803;;;;0
2017/2018;Alberta;2016A000248;Total, custodial admissions;40 to 44 years;Number;223;units;0;v1000077732;10.1.7;4130;;;;0
2017/2018;Alberta;2016A000248;Total, custodial admissions;45 to 49 years;Number;223;units;0;v1000077733;10.1.8;2912;;;;0
2017/2018;Alberta;2016A000248;Total, custodial admissions;50 years and over;Number;223;units;0;v1000077734;10.1.9;3302;;;;0
2017/2018;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;0;;;;0
2017/2018;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;18419;;;;0
2017/2018;Alberta;2016A000248;Sentenced;18 to 19 years;Number;223;units;0;v1000077735;10.2.2;434;;;;0
2017/2018;Alberta;2016A000248;Sentenced;20 to 24 years;Number;223;units;0;v1000077736;10.2.3;2749;;;;0
2017/2018;Alberta;2016A000248;Sentenced;25 to 29 years;Number;223;units;0;v1000077737;10.2.4;3807;;;;0
2017/2018;Alberta;2016A000248;Sentenced;30 to 34 years;Number;223;units;0;v1000077738;10.2.5;3871;;;;0
2017/2018;Alberta;2016A000248;Sentenced;35 to 39 years;Number;223;units;0;v1000077739;10.2.6;2875;;;;0
2017/2018;Alberta;2016A000248;Sentenced;40 to 44 years;Number;223;units;0;v1000077740;10.2.7;1784;;;;0
2017/2018;Alberta;2016A000248;Sentenced;45 to 49 years;Number;223;units;0;v1000077741;10.2.8;1316;;;;0
2017/2018;Alberta;2016A000248;Sentenced;50 years and over;Number;223;units;0;v1000077742;10.2.9;1583;;;;0
2017/2018;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;0;;;;0
2017/2018;Alberta;2016A000248;Sentenced;Median age on admission;Years;308;units;0;v1000077743;10.2.11;32;;;;0
2017/2018;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;23812;;;;0
2017/2018;Alberta;2016A000248;Remand;18 to 19 years;Number;223;units;0;v1000077744;10.3.2;1012;;;;0
2017/2018;Alberta;2016A000248;Remand;20 to 24 years;Number;223;units;0;v1000077745;10.3.3;3925;;;;0
2017/2018;Alberta;2016A000248;Remand;25 to 29 years;Number;223;units;0;v1000077746;10.3.4;5137;;;;0
2017/2018;Alberta;2016A000248;Remand;30 to 34 years;Number;223;units;0;v1000077747;10.3.5;4936;;;;0
2017/2018;Alberta;2016A000248;Remand;35 to 39 years;Number;223;units;0;v1000077748;10.3.6;3625;;;;0
2017/2018;Alberta;2016A000248;Remand;40 to 44 years;Number;223;units;0;v1000077749;10.3.7;2163;;;;0
2017/2018;Alberta;2016A000248;Remand;45 to 49 years;Number;223;units;0;v1000077750;10.3.8;1442;;;;0
2017/2018;Alberta;2016A000248;Remand;50 years and over;Number;223;units;0;v1000077751;10.3.9;1572;;;;0
2017/2018;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;0;;;;0
2017/2018;Alberta;2016A000248;Remand;Median age on admission;Years;308;units;0;v1000077752;10.3.11;31;;;;0
2017/2018;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;1874;;;;0
2017/2018;Alberta;2016A000248;Other custodial statuses;18 to 19 years;Number;223;units;0;v1000077753;10.4.2;43;;;;0
2017/2018;Alberta;2016A000248;Other custodial statuses;20 to 24 years;Number;223;units;0;v1000077754;10.4.3;272;;;;0
2017/2018;Alberta;2016A000248;Other custodial statuses;25 to 29 years;Number;223;units;0;v1000077755;10.4.4;396;;;;0
2017/2018;Alberta;2016A000248;Other custodial statuses;30 to 34 years;Number;223;units;0;v1000077756;10.4.5;376;;;;0
2017/2018;Alberta;2016A000248;Other custodial statuses;35 to 39 years;Number;223;units;0;v1000077757;10.4.6;303;;;;0
2017/2018;Alberta;2016A000248;Other custodial statuses;40 to 44 years;Number;223;units;0;v1000077758;10.4.7;183;;;;0
2017/2018;Alberta;2016A000248;Other custodial statuses;45 to 49 years;Number;223;units;0;v1000077759;10.4.8;154;;;;0
2017/2018;Alberta;2016A000248;Other custodial statuses;50 years and over;Number;223;units;0;v1000077760;10.4.9;147;;;;0
2017/2018;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;0;;;;0
2018/2019;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;37485;;;;0
2018/2019;Alberta;2016A000248;Total, custodial admissions;18 to 19 years;Number;223;units;0;v1000077727;10.1.2;1118;;;;0
2018/2019;Alberta;2016A000248;Total, custodial admissions;20 to 24 years;Number;223;units;0;v1000077728;10.1.3;5274;;;;0
2018/2019;Alberta;2016A000248;Total, custodial admissions;25 to 29 years;Number;223;units;0;v1000077729;10.1.4;7760;;;;0
2018/2019;Alberta;2016A000248;Total, custodial admissions;30 to 34 years;Number;223;units;0;v1000077730;10.1.5;8031;;;;0
2018/2019;Alberta;2016A000248;Total, custodial admissions;35 to 39 years;Number;223;units;0;v1000077731;10.1.6;6219;;;;0
2018/2019;Alberta;2016A000248;Total, custodial admissions;40 to 44 years;Number;223;units;0;v1000077732;10.1.7;3777;;;;0
2018/2019;Alberta;2016A000248;Total, custodial admissions;45 to 49 years;Number;223;units;0;v1000077733;10.1.8;2441;;;;0
2018/2019;Alberta;2016A000248;Total, custodial admissions;50 years and over;Number;223;units;0;v1000077734;10.1.9;2865;;;;0
2018/2019;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;0;;;;0
2018/2019;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;15208;;;;0
2018/2019;Alberta;2016A000248;Sentenced;18 to 19 years;Number;223;units;0;v1000077735;10.2.2;290;;;;0
2018/2019;Alberta;2016A000248;Sentenced;20 to 24 years;Number;223;units;0;v1000077736;10.2.3;1957;;;;0
