FID;INSTAL_COD;INSTAL_NOM;INSTAL_N_1;ETAB_CODE;ETAB_NOM;ETAB_NOM_A;RSS_CODE;RSS_NOM;ADRESSE;CASE_POST;CODE_POSTA;TELEPHONE;MUN_CODE;MUN_NOM;CLSC_CODE;CLSC_NOM;MRC_CODE;MRC_NOM;RLS_CODE;RLS_NOM;RUIS_CODE;RUIS_NOM;STATUT_COD;MD_CONS_CO;MD_FINAN_C;DESIGN_MIN;INSTANCE;DATE_INCOR;DATE_OUVER;LONGITUDE;LATITUDE;CHPSY;CHSGS;CHSLD;CLSC;CPEJ;CRDITED;CRDPA;CRDPM;CRDPV;CRDPL;CRJDA;CRMDA;CRD;Y;X
11;12453676;CLINIQUE COMMUNAUTAIRE DE POINTE ST-CHARLES;CLINIQUE COMMUNAUTAIRE DE POINTE ST-CHARLES;12453676;Clinique communautaire de Pointe St-Charles;CLINIQUE COMMUNAUTAIRE DE POINTE ST-CHARLES;6;Montréal;500, avenue Ash; ;H3K2R4;(514) 937-9251;66023;Montréal;6314;Pointe-Saint-Charles;660;Montréal;631;RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles;3;RUIS Université McGill;2;4;2; ;N;2010/02/24 00:00:00+00;1974/01/01 00:00:00+00;-73.556893;45.478346;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.5568929995422;45.4783459999871
12;12469490;SERVICES D'HEBERGEMENT INTERNES SERVICES DE READAPTATION EXTERNES - SOUS-REGION D'AMOS;SERVICES D'HEBERGEMENT INTERNES - SOUS-REGION D'AMOS;11045226;Centre intégré de santé et de services sociaux de l'Abitibi-Témiscamingue;CISSS DE L'ABITIBI-TÉMISCAMINGUE;8;Abitibi-Témiscamingue;841, 3e Rue Ouest; ;J9T2T4;(819) 732-6511;88055;Amos;8121;Abitibi;880;Abitibi;812;RLS de l'Abitibi;3;RUIS Université McGill;1;2;1; ;N;;1974/01/01 00:00:00+00;-78.12518;48.577385;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-78.1251800000839;48.5773849996027
13;12475976;HÔPITAL DU SACRÉ-CŒUR DE MONTRÉAL;HÔPITAL DU SACRÉ-CŒUR DE MONTRÉAL;11045192;Centre intégré universitaire de santé et de services sociaux du Nord-de-l'Île-de-Montréal;CIUSSS DU NORD-DE-L'ÎLE-DE-MONTRÉAL;6;Montréal;5400, boulevard Gouin Ouest; ;H4J1C5;(514) 338-2222;66023;Montréal;6411;Bordeaux-Cartierville;660;Montréal;641;RLS du Nord de l'Île - Saint-Laurent;2;RUIS Université de Montréal;1;2;1; ;N;;1978/10/19 00:00:00+00;-73.714036;45.532578;Non;Oui;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.7140360001212;45.5325780003143
14;12562179;MAISON ELIZABETH;MAISON ELIZABETH;12562179;Maison Elizabeth;MAISON ELIZABETH;6;Montréal;2131, avenue de Marlowe; ;H4A3L4;(514) 482-2488;66023;Montréal;6212;Notre-Dame-de-Grâce - Montréal-Ouest;660;Montréal;621;RLS de Côte-Saint-Luc - NDG - Montréal-Ouest;3;RUIS Université McGill;2;4;1; ;N;2010/02/24 00:00:00+00;1974/01/01 00:00:00+00;-73.606881;45.475216;Non;Non;Non;Non;Non;Non;Non;Non;Non; ;Non;Oui;Non;-73.6068810004284;45.4752160003328
15;12582292;CENTRE MIRIAM;CENTRE MIRIAM;12582292;Centre Miriam;CENTRE MIRIAM;6;Montréal;8160, chemin Royden; ;H4P2T2;(514) 681-9256;66072;Mont-Royal;6222;Mont-Royal;660;Montréal;622;RLS de Côte-des-Neiges - Métro - Parc-Extension;3;RUIS Université McGill;1;4;1; ;N;2007/04/04 00:00:00+00;1974/01/01 00:00:00+00;-73.661867;45.496359;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-73.6618669995377;45.4963590001137
16;12599213;HÔPITAL GÉNÉRAL DE MONTRÉAL;HÔPITAL GÉNÉRAL DE MONTRÉAL;12599213;Centre universitaire de santé McGill;CUSM;6;Montréal;1650, avenue Cedar; ;H3G1A4;(514) 937-6011;66023;Montréal;6225;Métro;660;Montréal;622;RLS de Côte-des-Neiges - Métro - Parc-Extension;3;RUIS Université McGill;1;2;1;1;N;2007/04/04 00:00:00+00;1974/01/01 00:00:00+00;-73.589036;45.497046;Non;Oui;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.5890359998404;45.4970460003239
17;12653192;CHSLD HEATHER I;CHSLD HEATHER I;12653192;Centre d'hébergement et de soins de longue durée Heather Inc.;CHSLD HEATHER INC.;14;Lanaudière;3931, Lakeshore Drive; ;J0K1S0;(450) 834-3070;62037;Rawdon;14111;Matawinie;620;Matawinie;1411;RLS de Lanaudière-Nord;2;RUIS Université de Montréal;2;1;2; ;N;2010/02/24 00:00:00+00;1978/09/29 00:00:00+00;-73.702226;46.050862;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.7022259997747;46.0508619997733
18;12685608;HÔPITAL GÉNÉRAL JUIF;HÔPITAL GÉNÉRAL JUIF;12685608;L'Hôpital général juif Sir Mortimer B. Davis;L'HÔPITAL GÉNÉRAL JUIF SIR MORTIMER B. DAVIS;6;Montréal;3755, chemin de la Côte-Sainte-Catherin; ;H3T1E2;(514) 340-8222;66023;Montréal;6224;Côte-des-Neiges;660;Montréal;622;RLS de Côte-des-Neiges - Métro - Parc-Extension;3;RUIS Université McGill;1;6;1;4;N;2007/05/07 00:00:00+00;1974/01/01 00:00:00+00;-73.628806;45.497811;Non;Oui;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.6288059998305;45.4978109999854
19;12704573;LA RESIDENCE DE LACHUTE;LA RESIDENCE DE LACHUTE;12704573;La résidence de Lachute;LA RÉSIDENCE DE LACHUTE;15;Laurentides;377, rue Principale; ;J8H1Y1;(450) 562-5203;76020;Lachute;15141;Argenteuil;760;Argenteuil;1514;RLS d'Argenteuil;2;RUIS Université de Montréal;1;4;1; ;N;2007/04/04 00:00:00+00;1974/01/01 00:00:00+00;-74.339262;45.656645;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-74.339262000099;45.6566450001001
20;12730628;CENTRE DE SANTÉ TULATTAVIK DE L'UNGAVA;CENTRE DE SANTÉ TULATTAVIK DE L'UNGAVA;12730628;Centre de santé Tulattavik de l'Ungava;CENTRE DE SANTÉ TULATTAVIK DE L'UNGAVA;17;Nunavik;Kuujjuaq;case postale 149;J0M1C0;(819) 964-2905;99095;Kuujjuaq;17012;Ungava;992;Administration régionale Kativik; ; ;3;RUIS Université McGill;1;2;1; ;N;2010/05/03 00:00:00+00;1974/01/01 00:00:00+00;-68.405271;58.107047;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non; ;Non;Non;Non;-68.4052710000567;58.1070469997227
21;12745725;CENTRE HOSPITALIER DE ST. MARY;CENTRE HOSPITALIER DE ST. MARY;12745725;Centre hospitalier de St. Mary;CENTRE HOSPITALIER DE ST. MARY;6;Montréal;3830, avenue Lacombe; ;H3T1M5;(514) 345-3511;66023;Montréal;6224;Côte-des-Neiges;660;Montréal;622;RLS de Côte-des-Neiges - Métro - Parc-Extension;3;RUIS Université McGill;1;6;1;4;N;2007/04/04 00:00:00+00;1974/01/01 00:00:00+00;-73.624505;45.495296;Non;Oui;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.6245050004298;45.4952960002848
22;12797577;INSTITUT NATIONAL DE PSYCHIATRIE LÉGALE PHILIPPE-PINEL;INSTITUT NATIONAL DE PSYCHIATRIE LÉGALE PHILIPPE-PINEL;12797577;Institut national de psychiatrie légale Philippe-Pinel;INSTITUT NATIONAL DE PSYCHIATRIE LÉGALE PHILIPPE-PINEL;6;Montréal;10905, boulevard Henri-Bourassa Est; ;H1C1H1;(514) 648-8461;66023;Montréal;6521;Rivière-des-Prairies;660;Montréal;652;RLS de Rivière-des-Prairies - Anjou - Montréal-Est;2;RUIS Université de Montréal;1;4;1; ;N;;1964/01/23 00:00:00+00;-73.533616;45.656057;Oui;Non;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.5336160006065;45.6560569997421
23;12848230;INSTITUT RAYMOND-DEWAR;INSTITUT RAYMOND-DEWAR;11045184;Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal;CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL;6;Montréal;3600, rue Berri; ;H2L4G9;(514) 284-2581;66023;Montréal;6322;Plateau-Mont-Royal;660;Montréal;632;RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc;2;RUIS Université de Montréal;1;2;1; ;N;;1974/01/01 00:00:00+00;-73.569951;45.519209;Non;Non;Non;Non;Non;Non;Oui;Non;Non; ;Non;Non;Non;-73.5699510005722;45.5192089997027
24;12892303;L'HOPITAL CHINOIS DE MONTREAL (1963);L'HOPITAL CHINOIS DE MONTREAL (1963);12892303;L'Hôpital chinois de Montréal (1963);L'HÔPITAL CHINOIS DE MONTRÉAL (1963);6;Montréal;189, avenue Viger Est; ;H2X3Y9;(514) 871-0961;66023;Montréal;6324;Montréal - Centre-Ville;660;Montréal;632;RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc;2;RUIS Université de Montréal;1;4;1; ;N;2007/05/04 00:00:00+00;1974/01/01 00:00:00+00;-73.558121;45.509557;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.5581210003773;45.5095569999961
25;12934659;HÔPITAL MAISONNEUVE-ROSEMONT;HÔPITAL MAISONNEUVE-ROSEMONT;11045200;Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal;CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL;6;Montréal;5415, boulevard de l'Assomption; ;H1T2M4;(514) 252-3400;66023;Montréal;6531;Rosemont;660;Montréal;653;RLS de Hochelaga - Mercier-Ouest - Rosemont;2;RUIS Université de Montréal;1;2;1; ;N;;1974/01/01 00:00:00+00;-73.559548;45.574065;Non;Oui;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.5595479996751;45.574064999997
26;12979662;PAVILLON STE-MARIE;PAVILLON STE-MARIE;12979662;Pavillon Ste-Marie Inc.;PAVILLON STE-MARIE INC.;15;Laurentides;45, rue du Pavillon; ;J7Y3R6;(450) 438-3583;75017;Saint-Jérôme;15161;La Rivière-du-Nord - Mirabel;750;La Rivière-du-Nord;1516;RLS de la Rivière-du-Nord - Mirabel-Nord;2;RUIS Université de Montréal;2;1;2; ;N;2010/02/24 00:00:00+00;1974/01/01 00:00:00+00;-74.008379;45.808008;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-74.0083789999728;45.8080079998802
27;13000732;LES CEDRES-CENTRE D'ACCUEIL POUR PERSONNES AGEES;LES CEDRES-CENTRE D'ACCUEIL POUR PERSONNES AGEES;13000732;Les cèdres - Centre d'accueil pour personnes agées;LES CÈDRES - CENTRE D'ACCUEIL POUR PERSONNES AGEES;6;Montréal;1275, boulevard de la Côte-Vertu;suite 200;H4L4V2;(514) 389-1023;66023;Montréal;6412;Saint-Laurent;660;Montréal;641;RLS du Nord de l'Île - Saint-Laurent;2;RUIS Université de Montréal;2;4;2; ;N;2010/02/24 00:00:00+00;1974/01/01 00:00:00+00;-73.679924;45.517002;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.6799240003381;45.5170019995879
28;13146477;CENTRE HOSPITALIER GERIATRIQUE MAIMONIDES;CENTRE HOSPITALIER GERIATRIQUE MAIMONIDES;13146477;La corporation du Centre hospitalier gériatrique Maimonides;LA CORPORATION DU CENTRE HOSP. GÉRIATRIQUE MAIMONIDES;6;Montréal;5795, avenue Caldwell; ;H4W1W3;(514) 483-2121;66058;Côte-Saint-Luc;6211;Côte-Saint-Luc;660;Montréal;621;RLS de Côte-Saint-Luc - NDG - Montréal-Ouest;3;RUIS Université McGill;1;4;1; ;N;2007/04/03 00:00:00+00;1974/01/01 00:00:00+00;-73.668455;45.471493;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.668455000088;45.4714929999243
29;13317037;PAVILLON BELLEVUE;PAVILLON BELLEVUE;13317037;Pavillon Bellevue Inc.;PAVILLON BELLEVUE INC.;12;Chaudière-Appalaches;99, rue Monseigneur-Bourget; ;G6V9V2;(418) 833-3490;25213;Lévis;12113;Desjardins;251;Lévis;1211;RLS Alphonse-Desjardins;1;RUIS Université Laval;2;3;2; ;N;2010/02/24 00:00:00+00;1974/01/01 00:00:00+00;-71.156735;46.819105;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.1567350005312;46.8191050000216
30;13388905;CENTRE METROPOLITAIN DE CHIRURGIE PLASTIQUE;CENTRE METROPOLITAIN DE CHIRURGIE PLASTIQUE;13388905;Centre métropolitain de chirurgie plastique Inc.;CENTRE MÉTROPOLITAIN DE CHIRURGIE PLASTIQUE INC.;6;Montréal;999, rue de Salaberry; ;H3L1L2;(514) 332-7091;66023;Montréal;6421;Ahuntsic;660;Montréal;642;RLS d'Ahuntsic - Montréal-Nord;2;RUIS Université de Montréal;2;3;4; ;N;2010/02/24 00:00:00+00;1976/01/01 00:00:00+00;-73.692942;45.545449;Non;Oui;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.6929419998626;45.5454489999581
31;13469796;HOPITAL MONT SINAI;HOPITAL MONT-SINAI;13469796;Hôpital Mont-Sinai;HÔPITAL MONT-SINAI;6;Montréal;5690, boulevard Cavendish; ;H4W1S7;(514) 369-2222;66058;Côte-Saint-Luc;6211;Côte-Saint-Luc;660;Montréal;621;RLS de Côte-Saint-Luc - NDG - Montréal-Ouest;3;RUIS Université McGill;1;6;1; ;N;2007/04/03 00:00:00+00;1974/01/01 00:00:00+00;-73.657345;45.473842;Non;Oui;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.6573449999695;45.4738419996748
32;13578448;ACCUEIL DU RIVAGE;ACCUEIL DU RIVAGE;13578448;Accueil du Rivage Inc.;ACCUEIL DU RIVAGE INC.;16;Montérégie;1008, rue du Rivage;case postale 60;J0L1R0;(450) 787-3163;57075;Saint-Antoine-sur-Richelieu;16221;Saint-Bruno - Beloeil - Saint-Hilaire;570;La Vallée-du-Richelieu;1622;RLS de Richelieu-Yamaska;4;RUIS Université de Sherbrooke;2;1;2; ;N;2010/02/24 00:00:00+00;1974/01/30 00:00:00+00;-73.173356;45.77807;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.1733560005096;45.7780699997993
33;13625587;MANOIR ST-PATRICE;MANOIR ST-PATRICE;13625587;Manoir St-Patrice Inc.;MANOIR ST-PATRICE INC.;13;Laval;3615, boulevard Perron; ;H7V1P4;(450) 681-1621;65005;Laval;13114;Chomedey;650;Laval;1311;RLS de Laval;2;RUIS Université de Montréal;2;3;2; ;N;2010/02/24 00:00:00+00;1975/03/12 00:00:00+00;-73.741039;45.541817;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.7410390005158;45.5418169996887
34;15103666;INSTITUT UNIVERSITAIRE DE GÉRIATRIE DE MONTRÉAL;INSTITUT UNIVERSITAIRE DE GÉRIATRIE DE MONTRÉAL;11045184;Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal;CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL;6;Montréal;4565, chemin Queen-Mary; ;H3W1W5;(514) 722-3000;66023;Montréal;6223;Snowdon;660;Montréal;622;RLS de Côte-des-Neiges - Métro - Parc-Extension;3;RUIS Université McGill;1;2;1; ;N;;1978/01/18 00:00:00+00;-73.623817;45.491031;Non;Oui;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.6238169996792;45.4910310004358
35;16322059;LA MAISON MICHEL SARRAZIN;LA MAISON MICHEL SARRAZIN;16322059;La Maison Michel Sarrazin;LA MAISON MICHEL SARRAZIN;3;Capitale-Nationale;2101, chemin Saint-Louis; ;G1T1P5;(418) 688-0878;23027;Québec;3123;Sainte-Foy - Sillery;230;Québec;312;RLS de Québec-Sud;1;RUIS Université Laval;2;4;6; ;N;2010/02/24 00:00:00+00;1985/02/15 00:00:00+00;-71.251598;46.773479;Non;Oui;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.251598000411;46.7734790002675
36;17524224;MANOIR BEACONSFIELD;MANOIR BEACONSFIELD;17524224;88980 Canada Inc.;88980 CANADA INC.;6;Montréal;34, avenue Woodland; ;H9W4V9;(514) 694-2000;66107;Beaconsfield;6111;Lac Saint-Louis;660;Montréal;611;RLS de Pierrefonds - Lac Saint-Louis;3;RUIS Université McGill;2;6;4; ;N;2010/02/24 00:00:00+00;1985/05/28 00:00:00+00;-73.883555;45.418948;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.8835549999887;45.4189479999084
37;18475830;RESIDENCE RIVE SOLEIL;RESIDENCE RIVE SOLEIL;18475830;Résidence Rive Soleil Inc.;RÉSIDENCE RIVE SOLEIL INC.;6;Montréal;15150, rue Notre-Dame Est; ;H1A1W6;(514) 642-5509;66023;Montréal;6523;Pointe-aux-Trembles;660;Montréal;652;RLS de Rivière-des-Prairies - Anjou - Montréal-Est;2;RUIS Université de Montréal;2;1;8; ;N;2010/02/24 00:00:00+00;1981/06/17 00:00:00+00;-73.490352;45.683371;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.4903519995909;45.6833710003243
38;24266926;MANOIR SOLEIL;MANOIR SOLEIL;24266926;Manoir Soleil Inc.;MANOIR SOLEIL INC.;16;Montérégie;125, rue Daigneault; ;J3L1G7;(450) 658-4441;57005;Chambly;16121;Chambly-Carignan-Marieville;570;La Vallée-du-Richelieu;1612;RLS du Haut-Richelieu - Rouville;4;RUIS Université de Sherbrooke;2;1;4; ;N;2010/02/24 00:00:00+00;1987/01/30 00:00:00+00;-73.29599;45.461357;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.2959900002993;45.4613570001797
39;25457094;HÔPITAL STE-MONIQUE;HÔPITAL STE-MONIQUE;25457094;Hôpital Ste-Monique inc.;HOPITAL STE-MONIQUE INC.;3;Capitale-Nationale;4805, boulevard Wilfrid-Hamel; ;G1P2J7;(418) 871-8701;23027;Québec;3122;Duberger-Les Saules-Lebourgneuf;230;Québec;312;RLS de Québec-Sud;1;RUIS Université Laval;2;1;2; ;N;2010/02/24 00:00:00+00;1988/02/23 00:00:00+00;-71.326309;46.804417;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.3263089996498;46.8044170000835
40;26370254;CENTRE D'ACCUEIL SAINT-JOSEPH DE LÉVIS;CENTRE D'ACCUEIL SAINT-JOSEPH DE LÉVIS;26370254;Centre d'accueil Saint-Joseph de Lévis Inc.;CENTRE D'ACCUEIL SAINT-JOSEPH DE LÉVIS INC.;12;Chaudière-Appalaches;5445, rue Saint-Louis; ;G6V4G9;(418) 833-3414;25213;Lévis;12113;Desjardins;251;Lévis;1211;RLS Alphonse-Desjardins;1;RUIS Université Laval;2;1;2; ;N;2010/02/24 00:00:00+00;1989/08/23 00:00:00+00;-71.188693;46.799145;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.18869299996;46.7991450004251
41;28609360;RESIDENCE SOREL-TRACY;RESIDENCE SOREL-TRACY;28609360;Résidence Sorel-Tracy Inc.;RÉSIDENCE SOREL-TRACY INC.;16;Montérégie;4025, rue Frontenac; ;J3R4G8;(450) 742-9427;53052;Sorel-Tracy;16231;Bas Richelieu;530;Pierre-De Saurel;1623;RLS Pierre-De Saurel;2;RUIS Université de Montréal;2;1;2; ;N;2010/02/24 00:00:00+00;1991/03/31 00:00:00+00;-73.143676;46.028224;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.1436759996597;46.0282239998035
42;28694321;CENTRE HOSPITALIER SAINT-FRANÇOIS;CENTRE HOSPITALIER SAINT-FRANÇOIS;28694321;Centre hospitalier Saint-François inc.;CENTRE HOSPITALIER SAINT-FRANÇOIS INC.;3;Capitale-Nationale;1604, 1e Avenue; ;G1L3L6;(418) 524-6033;23027;Québec;3126;Limoilou-Vanier;230;Québec;312;RLS de Québec-Sud;1;RUIS Université Laval;2;1;2; ;N;2010/02/24 00:00:00+00;1992/10/28 00:00:00+00;-71.235974;46.829042;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.2359740004859;46.8290419995504
