"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Groupe d'âge";"Sexe";"Indicateurs";"Caractéristiques";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356695";"1.1.1.4.5";"3.7";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356696";"1.1.1.4.6";"4.3";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356698";"1.1.1.5.1";"1145300";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356699";"1.1.1.5.2";"1055100";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356700";"1.1.1.5.3";"1247300";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356701";"1.1.1.5.4";"3.8";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356702";"1.1.1.5.5";"3.5";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356703";"1.1.1.5.6";"4.1";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, aucun besoin";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356705";"1.1.2.1.1";"12713600";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356706";"1.1.2.1.2";"12573800";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356707";"1.1.2.1.3";"12826400";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, aucun besoin";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356708";"1.1.2.1.4";"86.4";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356709";"1.1.2.1.5";"85.7";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356710";"1.1.2.1.6";"87.2";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356712";"1.1.2.2.1";"1128700";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356713";"1.1.2.2.2";"1056500";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356714";"1.1.2.2.3";"1220400";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356715";"1.1.2.2.4";"7.7";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356716";"1.1.2.2.5";"7.1";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356717";"1.1.2.2.6";"8.3";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356719";"1.1.2.3.1";"865000";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356720";"1.1.2.3.2";"782400";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356721";"1.1.2.3.3";"958500";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356722";"1.1.2.3.4";"5.9";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356723";"1.1.2.3.5";"5.3";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356724";"1.1.2.3.6";"6.5";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356726";"1.1.2.4.1";"389000";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356727";"1.1.2.4.2";"330000";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356728";"1.1.2.4.3";"445900";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356729";"1.1.2.4.4";"2.6";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356730";"1.1.2.4.5";"2.3";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356731";"1.1.2.4.6";"3.1";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356733";"1.1.2.5.1";"476100";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356734";"1.1.2.5.2";"418500";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356735";"1.1.2.5.3";"542000";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356736";"1.1.2.5.4";"3.2";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356737";"1.1.2.5.5";"2.8";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Hommes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356738";"1.1.2.5.6";"3.7";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, aucun besoin";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356740";"1.1.3.1.1";"11893700";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356741";"1.1.3.1.2";"11746100";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356742";"1.1.3.1.3";"12024400";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, aucun besoin";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356743";"1.1.3.1.4";"78.0";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356744";"1.1.3.1.5";"77.2";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356745";"1.1.3.1.6";"78.8";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356747";"1.1.3.2.1";"1871700";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356748";"1.1.3.2.2";"1789400";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356749";"1.1.3.2.3";"1970700";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356750";"1.1.3.2.4";"12.3";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356751";"1.1.3.2.5";"11.7";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356752";"1.1.3.2.6";"12.9";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356754";"1.1.3.3.1";"1476200";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356755";"1.1.3.3.2";"1390200";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356756";"1.1.3.3.3";"1571700";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356757";"1.1.3.3.4";"9.7";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356758";"1.1.3.3.5";"9.1";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356759";"1.1.3.3.6";"10.3";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356761";"1.1.3.4.1";"807000";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356762";"1.1.3.4.2";"747600";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356763";"1.1.3.4.3";"879900";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356764";"1.1.3.4.4";"5.3";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356765";"1.1.3.4.5";"4.9";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356766";"1.1.3.4.6";"5.8";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356768";"1.1.3.5.1";"669200";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356769";"1.1.3.5.2";"606200";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356770";"1.1.3.5.3";"734100";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356771";"1.1.3.5.4";"4.4";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356772";"1.1.3.5.5";"4.0";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Femmes";"Besoin perçu de soin de santé mentale, besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356773";"1.1.3.5.6";"4.8";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356775";"1.2.1.1.1";"1707700";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356776";"1.2.1.1.2";"1664000";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356777";"1.2.1.1.3";"1749800";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"12 à 17 ans";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356778";"1.2.1.1.4";"80.9";"";"";"";"1"
